,Date,Team 1,Team 2,Predicted Winner,Actual Winner,Correct Prediction
0,03-23-2022,LAL,PHI,PHI,PHI,1
1,11-28-2021,LAC,GSW,LAC,LAC,1
2,01-14-2019,SAC,POR,SAC,SAC,1
3,12-15-2018,LAC,OKC,LAC,OKC,0
4,02-28-2016,TOR,DET,DET,DET,1
5,05-08-2021,TOR,MEM,TOR,TOR,1
6,11-25-2015,PHI,BOS,BOS,BOS,1
7,02-14-2022,GSW,LAC,LAC,LAC,1
8,03-18-2017,CHI,UTA,CHI,CHI,1
9,03-13-2021,CHO,TOR,TOR,CHO,0
10,02-03-2019,LAC,TOR,TOR,TOR,1
11,04-02-2016,SAS,TOR,SAS,TOR,0
12,03-26-2016,SAS,OKC,OKC,SAS,0
13,03-09-2018,NOP,WAS,NOP,NOP,1
14,11-06-2017,PHO,BRK,BRK,BRK,1
15,03-06-2016,MIL,OKC,MIL,MIL,1
16,03-23-2018,MIL,CHI,MIL,MIL,1
17,02-06-2022,DEN,BRK,DEN,DEN,1
18,04-05-2016,MIL,CLE,MIL,MIL,1
19,02-03-2021,SAS,MIN,SAS,SAS,1
20,04-01-2017,SAC,MIN,SAC,SAC,1
21,11-23-2016,GSW,LAL,GSW,GSW,1
22,01-25-2021,DAL,DEN,DAL,DEN,0
23,03-05-2017,DAL,OKC,DAL,OKC,0
24,12-30-2017,UTA,CLE,CLE,UTA,0
25,05-07-2021,SAC,SAS,SAS,SAS,1
26,12-08-2015,HOU,BRK,HOU,BRK,0
27,12-18-2017,SAS,LAC,LAC,LAC,1
28,03-26-2017,DEN,NOP,DEN,DEN,1
29,12-15-2015,SAC,HOU,HOU,HOU,1
30,05-11-2021,MIA,BOS,MIA,MIA,1
31,02-28-2017,DEN,CHI,DEN,DEN,1
32,03-21-2019,SAC,DAL,SAC,SAC,1
33,01-04-2016,MEM,POR,POR,MEM,0
34,01-19-2017,NYK,WAS,WAS,WAS,1
35,04-03-2022,HOU,MIN,MIN,MIN,1
36,12-05-2016,MEM,NOP,MEM,MEM,1
37,01-02-2016,SAC,PHO,SAC,SAC,1
38,03-02-2022,NOP,SAC,SAC,SAC,1
39,02-07-2019,POR,SAS,POR,POR,1
40,01-23-2022,TOR,POR,TOR,POR,0
41,02-09-2022,OKC,TOR,TOR,OKC,0
42,12-25-2018,POR,UTA,POR,POR,1
43,02-05-2021,DET,PHO,DET,DET,1
44,04-08-2021,LAC,PHO,PHO,LAC,0
45,03-23-2018,POR,BOS,POR,BOS,0
46,02-06-2018,TOR,BOS,BOS,BOS,1
47,11-13-2018,CLE,CHO,CHO,CHO,1
48,03-17-2022,ORL,DET,DET,DET,1
49,03-03-2018,LAL,SAS,SAS,LAL,0
50,03-08-2022,PHO,ORL,PHO,ORL,0
51,04-09-2018,ORL,MIL,MIL,ORL,0
52,03-30-2022,SAS,MEM,SAS,MEM,0
53,11-24-2021,WAS,NOP,NOP,NOP,1
54,12-05-2016,UTA,LAL,LAL,UTA,0
55,02-13-2021,BRK,GSW,BRK,BRK,1
56,02-21-2016,BOS,DEN,DEN,BOS,0
57,02-12-2021,LAC,CHI,LAC,LAC,1
58,01-12-2022,CHI,BRK,BRK,BRK,1
59,02-06-2019,WAS,MIL,MIL,MIL,1
60,03-11-2018,IND,BOS,IND,IND,1
61,02-05-2019,OKC,ORL,OKC,OKC,1
62,01-29-2019,BRK,CHI,BRK,BRK,1
63,12-25-2018,OKC,HOU,OKC,HOU,0
64,12-20-2016,HOU,SAS,HOU,SAS,0
65,03-31-2019,CHO,GSW,GSW,CHO,0
66,04-09-2018,POR,DEN,DEN,DEN,1
67,03-24-2022,DEN,PHO,PHO,PHO,1
68,01-21-2019,BOS,MIA,MIA,MIA,1
69,11-22-2017,DAL,MEM,MEM,DAL,0
70,03-02-2017,CHI,GSW,GSW,CHI,0
71,03-15-2021,WAS,MIL,MIL,MIL,1
72,03-25-2018,MIA,IND,MIA,IND,0
73,04-09-2022,NOP,MEM,MEM,MEM,1
74,03-02-2018,IND,MIL,IND,MIL,0
75,04-21-2021,SAC,MIN,MIN,SAC,0
76,12-11-2015,MIN,DEN,MIN,DEN,0
77,03-03-2017,OKC,PHO,PHO,PHO,1
78,04-03-2019,BOS,MIA,BOS,BOS,1
79,03-30-2022,GSW,PHO,GSW,PHO,0
80,02-14-2021,DEN,LAL,DEN,DEN,1
81,02-27-2016,MIN,NOP,MIN,MIN,1
82,04-06-2018,WAS,ATL,WAS,WAS,1
83,03-27-2022,BOS,MIN,BOS,BOS,1
84,03-26-2017,POR,LAL,LAL,POR,0
85,04-04-2019,PHI,MIL,PHI,MIL,0
86,03-31-2021,MEM,UTA,MEM,UTA,0
87,03-06-2018,MIA,WAS,MIA,WAS,0
88,12-26-2016,MIL,WAS,MIL,WAS,0
89,03-23-2016,NYK,CHI,CHI,NYK,0
90,02-05-2018,LAC,DAL,LAC,LAC,1
91,12-11-2021,MEM,HOU,MEM,MEM,1
92,01-27-2018,BOS,GSW,GSW,GSW,1
93,04-25-2021,CHO,BOS,CHO,CHO,1
94,03-10-2019,CHI,DET,DET,DET,1
95,03-06-2022,PHO,MIL,MIL,MIL,1
96,12-31-2016,MEM,SAC,MEM,SAC,0
97,04-04-2018,MEM,NOP,MEM,MEM,1
98,12-20-2017,PHO,LAC,PHO,PHO,1
99,03-31-2021,MIN,NYK,NYK,MIN,0
100,03-01-2016,MIA,CHI,MIA,MIA,1
101,03-04-2021,WAS,LAC,LAC,WAS,0
102,01-16-2018,DAL,DEN,DAL,DEN,0
